Year,Format,Innings,Runs,Average,StrikeRate,100s,50s
2011,Test,9,202,22.44,42.70,0,2
2012,Test,16,689,49.21,46.74,3,3
2013,Test,12,616,56.00,54.65,2,3
2014,Test,20,847,44.57,60.54,4,2
2015,Test,15,640,42.66,54.05,2,2
2016,Test,18,1215,75.93,60.41,4,2
2017,Test,16,1059,75.64,76.24,5,1
2018,Test,24,1322,55.08,54.33,5,5
2019,Test,11,612,68.00,63.28,2,2
2020,Test,6,116,19.33,40.98,0,1
2021,Test,19,536,28.21,44.07,0,4
2022,Test,11,265,26.50,39.43,0,1
2023,Test,12,671,55.91,54.73,2,2
2024,Test,19,417,24.52,61.96,1,1
2025,Test,2,23,11.50,28.39,0,0
2008,ODI,5,159,31.80,66.53,0,1
2009,ODI,8,325,54.17,84.42,1,2
2010,ODI,24,995,47.38,85.12,3,7
2011,ODI,34,1381,47.62,85.56,4,8
2012,ODI,17,1026,68.40,93.78,5,3
2013,ODI,30,1268,52.83,97.54,4,7
2014,ODI,20,1054,58.56,99.62,4,5
2015,ODI,20,623,36.65,80.60,2,1
2016,ODI,10,739,92.38,100.00,3,4
2017,ODI,26,1460,76.84,99.12,6,7
2018,ODI,14,1202,133.56,102.56,6,3
2019,ODI,25,1377,59.86,96.36,5,7
2020,ODI,9,431,47.88,92.29,0,5
2021,ODI,3,129,43.00,86.57,0,2
2022,ODI,11,302,27.45,87.03,1,2
2023,ODI,9,427,53.37,116.03,2,1
2024,ODI,3,58,19.33,84.05,0,0
2025,ODI,7,275,45.83,84.35,1,2
2010,T20I,1,26,,123.8,0,0
2011,T20I,4,61,15.20,117.3,0,0
2012,T20I,13,471,39.20,132.7,0,4
2013,T20I,1,29,29.00,131.8,0,0
2014,T20I,7,385,96.20,133.7,0,5
2015,T20I,2,44,22.00,157.1,0,0
2016,T20I,13,641,106.80,140.3,0,7
2017,T20I,10,299,37.40,152.6,0,2
2018,T20I,9,211,30.10,122.0,0,1
2019,T20I,10,466,77.70,147.9,0,5
2020,T20I,9,295,36.90,141.8,0,1
2021,T20I,8,299,74.80,132.9,0,4
2022,T20I,20,781,55.80,138.2,1,8
2024,T20I,10,180,18.00,119.2,0,1
